town,cluster_label,flat_type,remaining_lease_yrs,path,predicted_start_psf,floor_area_sqf,low_growth_annual,central_growth_annual,high_growth_annual,n_train_support,low_confidence,data_source
ANG MO KIO,Cluster: Mature Heartland,4_ROOM,95,Resale Purchase,859.7267669216786,1022,0.02135752442223593,0.028082156802188285,0.03463531580779655,1787,FALSE,model
ANG MO KIO,Cluster: Mature Heartland,5_ROOM,40,Resale Purchase,583.7008701763303,1184,0.015777560418245296,0.024128385987669754,0.032215400414112416,1,TRUE,model
ANG MO KIO,Cluster: Mature Heartland,5_ROOM,45,Resale Purchase,586.0639099287091,1184,0.015777560418245296,0.024128385987669754,0.032215400414112416,154,FALSE,model
ANG MO KIO,Cluster: Mature Heartland,5_ROOM,50,Resale Purchase,573.7376530528655,1184,0.015777560418245296,0.024128385987669754,0.032215400414112416,2332,FALSE,model
ANG MO KIO,Cluster: Mature Heartland,5_ROOM,55,Resale Purchase,576.7950186046669,1184,0.015777560418245296,0.024128385987669754,0.032215400414112416,2517,FALSE,model
ANG MO KIO,Cluster: Mature Heartland,5_ROOM,60,Resale Purchase,595.4693975659068,1184,0.015777560418245296,0.024128385987669754,0.032215400414112416,5665,FALSE,model
ANG MO KIO,Cluster: Mature Heartland,5_ROOM,65,Resale Purchase,598.7105093976071,1184,0.015777560418245296,0.024128385987669754,0.032215400414112416,2812,FALSE,model
ANG MO KIO,Cluster: Mature Heartland,5_ROOM,70,Resale Purchase,642.0162087529084,1184,0.015777560418245296,0.024128385987669754,0.032215400414112416,8777,FALSE,model
ANG MO KIO,Cluster: Mature Heartland,5_ROOM,75,Resale Purchase,696.5523471059129,1184,0.015777560418245296,0.024128385987669754,0.032215400414112416,11446,FALSE,model
ANG MO KIO,Cluster: Mature Heartland,5_ROOM,80,Resale Purchase,747.5205634010886,1184,0.015777560418245296,0.024128385987669754,0.032215400414112416,1773,FALSE,model
ANG MO KIO,Cluster: Mature Heartland,5_ROOM,85,Resale Purchase,765.0037659621786,1184,0.015777560418245296,0.024128385987669754,0.032215400414112416,2158,FALSE,model
ANG MO KIO,Cluster: Mature Heartland,5_ROOM,90,Resale Purchase,799.6235815475632,1184,0.015777560418245296,0.024128385987669754,0.032215400414112416,7225,FALSE,model
ANG MO KIO,Cluster: Mature Heartland,5_ROOM,95,Resale Purchase,856.8782974882844,1184,0.015777560418245296,0.024128385987669754,0.032215400414112416,657,FALSE,model
BEDOK,Cluster: Mature Heartland,2_ROOM,40,Resale Purchase,520.8693111954389,484,0.015314431828787889,0.025351469269588867,0.03501022604706017,267,FALSE,model
BEDOK,Cluster: Mature Heartland,2_ROOM,45,Resale Purchase,528.3395349615578,484,0.015314431828787889,0.025351469269588867,0.03501022604706017,267,FALSE,model
BEDOK,Cluster: Mature Heartland,2_ROOM,50,Resale Purchase,529.7042905597303,484,0.015314431828787889,0.025351469269588867,0.03501022604706017,262,FALSE,model
BEDOK,Cluster: Mature Heartland,2_ROOM,55,Resale Purchase,535.2874705025959,484,0.015314431828787889,0.025351469269588867,0.03501022604706017,74,FALSE,model
BEDOK,Cluster: Mature Heartland,2_ROOM,60,Resale Purchase,538.8478803893471,484,0.015314431828787889,0.025351469269588867,0.03501022604706017,125,FALSE,model
BEDOK,Cluster: Mature Heartland,2_ROOM,65,Resale Purchase,539.346751625259,484,0.015314431828787889,0.025351469269588867,0.03501022604706017,3,TRUE,model
BEDOK,Cluster: Mature Heartland,2_ROOM,70,Resale Purchase,569.9061012746221,484,0.015314431828787889,0.025351469269588867,0.03501022604706017,0,TRUE,model
BEDOK,Cluster: Mature Heartland,2_ROOM,75,Resale Purchase,706.8224886725407,484,0.015314431828787889,0.025351469269588867,0.03501022604706017,21,FALSE,model
BEDOK,Cluster: Mature Heartland,2_ROOM,80,Resale Purchase,761.8799877443187,484,0.015314431828787889,0.025351469269588867,0.03501022604706017,54,FALSE,model
BEDOK,Cluster: Mature Heartland,2_ROOM,85,Resale Purchase,767.9674015821028,484,0.015314431828787889,0.025351469269588867,0.03501022604706017,834,FALSE,model
