town_group,flat_type,remaining_lease_yrs,floor_area_sqf,predicted_start_psf,n_train_support,low_confidence
3,3_ROOM,45,732,489.74877491174,4726,FALSE
3,3_ROOM,50,732,488.4594755170194,9335,FALSE
3,3_ROOM,55,732,489.7692274008394,10030,FALSE
3,3_ROOM,60,732,498.5612762112112,8396,FALSE
3,3_ROOM,65,732,499.1443036209552,289,FALSE
3,3_ROOM,70,732,530.3787520895584,76,FALSE
3,3_ROOM,75,732,693.922535048419,184,FALSE
3,3_ROOM,80,732,754.6374002675049,226,FALSE
3,3_ROOM,85,732,754.0009232213466,2786,FALSE
3,3_ROOM,90,732,789.108554148092,5802,FALSE
3,3_ROOM,95,732,860.230291892045,588,FALSE
3,4_ROOM,40,1022,531.4145088424335,19,TRUE
3,4_ROOM,45,1022,531.5636482413214,684,FALSE
3,4_ROOM,50,1022,524.5526015016085,4038,FALSE
3,4_ROOM,55,1022,529.5237608285016,5648,FALSE
3,4_ROOM,60,1022,538.9453335751125,14052,FALSE
3,4_ROOM,65,1022,539.8060968155679,3917,FALSE
3,4_ROOM,70,1022,601.0317493325244,10622,FALSE
3,4_ROOM,75,1022,670.3873686429376,8341,FALSE
3,4_ROOM,80,1022,753.5833496421828,3448,FALSE
3,4_ROOM,85,1022,755.5553891491616,9137,FALSE
3,4_ROOM,90,1022,808.5280675966548,17219,FALSE
3,4_ROOM,95,1022,859.6009625737652,1787,FALSE
3,5_ROOM,40,1184,574.9731739496727,1,TRUE
3,5_ROOM,45,1184,576.4247004121196,154,FALSE
3,5_ROOM,50,1184,569.0694720290162,2332,FALSE
3,5_ROOM,55,1184,570.3573427204681,2517,FALSE
3,5_ROOM,60,1184,575.4526000137272,5665,FALSE
3,5_ROOM,65,1184,578.6838778321627,2812,FALSE
3,5_ROOM,70,1184,620.3695776261103,8777,FALSE
3,5_ROOM,75,1184,651.1151326039716,11446,FALSE
3,5_ROOM,80,1184,726.3894423140331,1773,FALSE
3,5_ROOM,85,1184,741.0105519684645,2158,FALSE
3,5_ROOM,90,1184,783.549168512843,7225,FALSE
3,5_ROOM,95,1184,862.3346749348726,657,FALSE
