town_group,flat_type,remaining_lease_yrs,floor_area_sqf,predicted_start_psf,n_train_support,low_confidence
3,3_ROOM,45,732,438.6399763547812,4726,FALSE
3,3_ROOM,50,732,446.78323385936517,9335,FALSE
3,3_ROOM,55,732,466.7884158513826,10030,FALSE
3,3_ROOM,60,732,468.80625498545913,8396,FALSE
3,3_ROOM,65,732,468.1595728649477,289,FALSE
3,3_ROOM,70,732,469.0310969990072,76,FALSE
3,3_ROOM,75,732,492.7680971520712,184,FALSE
3,3_ROOM,80,732,545.4700768197926,226,FALSE
3,3_ROOM,85,732,556.8477919994926,2786,FALSE
3,3_ROOM,90,732,582.9744883346965,5802,FALSE
3,3_ROOM,95,732,643.3444204530595,588,FALSE
3,4_ROOM,40,1022,422.0036284019223,19,TRUE
3,4_ROOM,45,1022,423.21989765802994,684,FALSE
3,4_ROOM,50,1022,423.050274130231,4038,FALSE
3,4_ROOM,55,1022,443.97027159075924,5648,FALSE
3,4_ROOM,60,1022,449.5995810486878,14052,FALSE
3,4_ROOM,65,1022,449.72141468844376,3917,FALSE
3,4_ROOM,70,1022,451.04051226730417,10622,FALSE
3,4_ROOM,75,1022,456.49600194459214,8341,FALSE
3,4_ROOM,80,1022,528.9891134641778,3448,FALSE
3,4_ROOM,85,1022,526.4632484104123,9137,FALSE
3,4_ROOM,90,1022,553.6013276499191,17219,FALSE
3,4_ROOM,95,1022,612.633105802545,1787,FALSE
3,5_ROOM,40,1184,421.8795872690693,1,TRUE
3,5_ROOM,45,1184,421.93658200230885,154,FALSE
3,5_ROOM,50,1184,412.0373980547002,2332,FALSE
3,5_ROOM,55,1184,437.03564727692776,2517,FALSE
3,5_ROOM,60,1184,437.09870878802235,5665,FALSE
3,5_ROOM,65,1184,437.95068246106797,2812,FALSE
3,5_ROOM,70,1184,438.59621417669166,8777,FALSE
3,5_ROOM,75,1184,436.68692419869114,11446,FALSE
3,5_ROOM,80,1184,491.3017655273788,1773,FALSE
3,5_ROOM,85,1184,534.2951118008026,2158,FALSE
3,5_ROOM,90,1184,539.7054922182267,7225,FALSE
3,5_ROOM,95,1184,616.9205575663661,657,FALSE
